url,domain,site_type,store_id,brand_id,term_origin,input_unit_warning,ai_trust_index,answer_adoption_rate,source_evidence_rate,legacy_geo_score,site_readiness_score,measured_query_count,excluded_query_count,entity_grounded,evidence_confidence,concise_comment_zh,deepseek_entity_name,deepseek_industry,deepseek_business_scope,deepseek_profile_status,measurement_status,measured_at,response_model,query_set_version,raw_ref,pipeline_version,profile_version,parser_version,scoring_version,evidence_hash
https://www.85td-101.com/,85td-101.com,,XY-066,BR-85TD,,,,,,,,,,,,網站或 API 證據不足，本筆資料不計為零分。,,,,,failed,2026-09-09T06:11:54.987Z,,,,3.0.0-query1.5.0-perplexity-p2.1.0-s3.1.0-trust1.0.0,1.1.0,2.1.0,3.1.0,
https://www.apointsteak.com.tw/,apointsteak.com.tw,restaurant,XY-003,BR-APOINTSTEAK,master,,0,0,0,53,82,2,0,true,medium,AI Trust Index 0 分；答案採用率 0%、已驗證官方 URL 引用率 0%。,艾朋牛排餐酒館,餐飲業,牛排館、餐酒館，提供頂級熟成牛排、義大利麵、精緻佳餚、宵夜小點與調酒，並提供餐飲服務與聚會場所。,success,success,2026-09-09T06:11:54.991Z,sonar,xinyi-dining-2026h2-v1.0,raw/apointsteak.com.tw.json,3.0.0-query1.5.0-perplexity-p2.1.0-s3.1.0-trust1.0.0,1.1.0,2.1.0,3.1.0,914127b61490f8d695c511bc977a46623af1a7b8f1fb11a068a315ec217f4040
https://www.bellavita.com.tw/cht/,bellavita.com.tw,restaurant,XY-023,BR-ROBUCHON,master,,0,0,0,33,50,2,0,true,medium,AI Trust Index 0 分；答案採用率 0%、已驗證官方 URL 引用率 0%。,BELLAVITA 寶麗廣塲,零售百貨,精品百貨商場，提供高級精品、服飾、配件、餐飲、會員服務等,success,success,2026-09-09T06:12:15.371Z,sonar,xinyi-dining-2026h2-v1.0,raw/bellavita.com.tw.json,3.0.0-query1.5.0-perplexity-p2.1.0-s3.1.0-trust1.0.0,1.1.0,2.1.0,3.1.0,82acbbc6712b6e44a2b27e39c43336969b12d711387ef03642281a9df14c21e9
https://www.breeze.com.tw/,breeze.com.tw,restaurant,XY-035,BR-SINCHAO,master,,0,0,0,41,87,2,0,true,medium,AI Trust Index 0 分；答案採用率 0%、已驗證官方 URL 引用率 0%。,微風廣場,零售百貨,百貨公司營運，包含購物中心、餐飲、品牌專櫃等,success,success,2026-09-09T06:12:17.924Z,sonar,xinyi-dining-2026h2-v1.0,raw/breeze.com.tw.json,3.0.0-query1.5.0-perplexity-p2.1.0-s3.1.0-trust1.0.0,1.1.0,2.1.0,3.1.0,0a668ab21ce142e92a7a9a0703a2866de97c06fcd5d9afe05aa80360d16d3079
https://tw.celavi.com/,tw.celavi.com,restaurant,XY-022,BR-CELAVI,master,,0,0,0,55,83,2,0,true,medium,AI Trust Index 0 分；答案採用率 0%、已驗證官方 URL 引用率 0%。,CÉ LA VI Taipei,restaurant,"Rooftop dining, skybar, lounge, private events, and catering services",success,success,2026-09-09T06:12:50.470Z,sonar,xinyi-dining-2026h2-v1.0,raw/tw.celavi.com.json,3.0.0-query1.5.0-perplexity-p2.1.0-s3.1.0-trust1.0.0,1.1.0,2.1.0,3.1.0,cea057b5ed7a6ff7d714d4b869a54ca2f550644ce821a345f275ab5ed9245365
https://www.chunshuitang.com.tw/,chunshuitang.com.tw,restaurant,XY-029,BR-CHUNSHUITANG,master,,0,0,0,53,77,2,0,true,medium,AI Trust Index 0 分；答案採用率 0%、已驗證官方 URL 引用率 0%。,春水堂人文茶館,餐飲業,茶飲、餐點、茶文化推廣、全球連鎖經營,success,success,2026-09-09T06:12:54.447Z,sonar,xinyi-dining-2026h2-v1.0,raw/chunshuitang.com.tw.json,3.0.0-query1.5.0-perplexity-p2.1.0-s3.1.0-trust1.0.0,1.1.0,2.1.0,3.1.0,a2db7078db239080c85cb910313b4947a7367936f11dbe6531cafffca6247ba1
https://www.dannycompany.com.tw/,dannycompany.com.tw,restaurant,XY-016,BR-TC-STEAK,master,,0,0,0,41,69,2,0,true,medium,AI Trust Index 0 分；答案採用率 0%、已驗證官方 URL 引用率 0%。,教父牛排 Danny's Steakhouse,餐飲業,高級牛排餐廳及相關餐飲品牌經營，提供線上訂位、網路商城、活動資訊等,success,success,2026-09-09T06:13:11.855Z,sonar,xinyi-dining-2026h2-v1.0,raw/dannycompany.com.tw.json,3.0.0-query1.5.0-perplexity-p2.1.0-s3.1.0-trust1.0.0,1.1.0,2.1.0,3.1.0,27639e31fa94e44f80d652d20b9f39db5eed99f75d481f83215b6f317277a226
https://www.dintaifung.com.tw/,dintaifung.com.tw,restaurant,XY-001,BR-DINTAIFUNG,master,,32.5,50,0,60,58,2,0,true,medium,AI Trust Index 32.5 分；答案採用率 50%、已驗證官方 URL 引用率 0%。,鼎泰豐,餐飲服務業,小籠包及麵點等餐飲服務，並提供線上購物（如鳳梨酥禮盒）,success,success,2026-09-09T06:13:26.954Z,sonar,xinyi-dining-2026h2-v1.0,raw/dintaifung.com.tw.json,3.0.0-query1.5.0-perplexity-p2.1.0-s3.1.0-trust1.0.0,1.1.0,2.1.0,3.1.0,bbe3c329414a7e6c8f27eabf4fef63d4457e4f2a673a66b5674199c1fa8bf6bf
https://www.dt101.com.tw/,dt101.com.tw,restaurant,XY-007,BR-DIAMONDTONY,master,,0,0,0,43,78,2,0,true,medium,AI Trust Index 0 分；答案採用率 0%、已驗證官方 URL 引用率 0%。,隨意鳥地方餐飲集團,餐飲服務業,經營多個餐飲品牌，包括義大利餐廳、蔬食餐廳、酒吧等，提供餐飲服務及線上訂購。,success,success,2026-09-09T06:13:49.392Z,sonar,xinyi-dining-2026h2-v1.0,raw/dt101.com.tw.json,3.0.0-query1.5.0-perplexity-p2.1.0-s3.1.0-trust1.0.0,1.1.0,2.1.0,3.1.0,2659a6e6981a1b23eed60d5983f2c9dcea0b139231c3c83fccb534b9b93ae7b5
https://www.eatogether.com.tw/zh-TW/home,eatogether.com.tw,restaurant,XY-032,BR-EATOGETHER,master,,0,0,0,53,70,2,0,true,medium,AI Trust Index 0 分；答案採用率 0%、已驗證官方 URL 引用率 0%。,饗食天堂,餐飲業,自助餐（百匯）餐廳，提供多國料理、餐券、外帶外送、婚宴及外燴服務,success,success,2026-09-09T06:14:05.384Z,sonar,xinyi-dining-2026h2-v1.0,raw/eatogether.com.tw.json,3.0.0-query1.5.0-perplexity-p2.1.0-s3.1.0-trust1.0.0,1.1.0,2.1.0,3.1.0,5df3b9a089c9ec04474d19bebd2598a2cae38754f04678b4e63b538244c2fcc3
